GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_450,GCF_002128045.1;protein_452,GCF_000319675.2;protein_452,GCF_000027345.1;protein_454,GCF_000283755.1;protein_455,GCF_002127985.1;protein_453,GCF_009947205.1;protein_452,GCF_041931765.1;protein_532,GCF_040256845.1;protein_454,GCF_002128265.1;protein_455,GCF_041931565.1;protein_647,GCF_009944725.1;protein_456,GCF_002128145.1;protein_452,GCF_001558175.1;protein_455,GCF_009942155.1;protein_454,GCF_041931755.1;protein_532,GCF_001272775.1;protein_455,GCF_009939765.1;protein_454,GCF_002355715.1;protein_454,GCF_900660465.1;protein_273,GCF_002128285.1;protein_453,GCF_009944335.1;protein_452,GCF_001272755.1;protein_453,GCF_000733995.1;protein_530,GCF_002090215.1;protein_452,GCF_000319655.2;protein_455,GCF_009947575.1;protein_453,GCF_009945865.1;protein_456,GCF_009943805.1;protein_453,GCF_002090295.1;protein_452,,,,,,,
GCF_910574535.1;protein_451,GCF_002128045.1;protein_453,GCF_000319675.2;protein_453,GCF_000027345.1;protein_455,GCF_000283755.1;protein_456,GCF_002127985.1;protein_454,GCF_009947205.1;protein_453,GCF_041931765.1;protein_533,GCF_040256845.1;protein_455,GCF_002128265.1;protein_456,GCF_041931565.1;protein_648,GCF_009944725.1;protein_457,GCF_002128145.1;protein_453,GCF_001558175.1;protein_456,GCF_009942155.1;protein_455,GCF_041931755.1;protein_533,GCF_001272775.1;protein_456,GCF_009939765.1;protein_455,GCF_002355715.1;protein_455,GCF_900660465.1;protein_272,GCF_002128285.1;protein_454,GCF_009944335.1;protein_453,GCF_001272755.1;protein_454,GCF_000733995.1;protein_531,GCF_002090215.1;protein_453,GCF_000319655.2;protein_456,GCF_009947575.1;protein_454,GCF_009945865.1;protein_457,GCF_009943805.1;protein_454,GCF_002090295.1;protein_453,,,,,,,
GCF_910574535.1;protein_452,GCF_002128045.1;protein_454,GCF_000319675.2;protein_454,GCF_000027345.1;protein_456,GCF_000283755.1;protein_457,GCF_002127985.1;protein_455,GCF_009947205.1;protein_454,GCF_041931765.1;protein_534,GCF_040256845.1;protein_456,GCF_002128265.1;protein_457,GCF_041931565.1;protein_649,GCF_009944725.1;protein_458,GCF_002128145.1;protein_454,GCF_001558175.1;protein_457,GCF_009942155.1;protein_456,GCF_041931755.1;protein_534,GCF_001272775.1;protein_457,GCF_009939765.1;protein_456,GCF_002355715.1;protein_456,GCF_900660465.1;protein_271,GCF_002128285.1;protein_455,GCF_009944335.1;protein_454,GCF_001272755.1;protein_455,GCF_000733995.1;protein_532,GCF_002090215.1;protein_454,GCF_000319655.2;protein_457,GCF_009947575.1;protein_455,GCF_009945865.1;protein_458,GCF_009943805.1;protein_455,GCF_002090295.1;protein_454,,,,,,,
GCF_910574535.1;protein_453,GCF_002128045.1;protein_455,GCF_000319675.2;protein_455,GCF_000027345.1;protein_457,GCF_000283755.1;protein_458,GCF_002127985.1;protein_456,GCF_009947205.1;protein_455,GCF_041931765.1;protein_535,GCF_040256845.1;protein_457,GCF_002128265.1;protein_458,GCF_041931565.1;protein_650,GCF_009944725.1;protein_459,GCF_002128145.1;protein_455,GCF_001558175.1;protein_458,GCF_009942155.1;protein_457,GCF_041931755.1;protein_535,GCF_001272775.1;protein_458,GCF_009939765.1;protein_457,GCF_002355715.1;protein_457,GCF_900660465.1;protein_270,GCF_002128285.1;protein_456,GCF_009944335.1;protein_455,GCF_001272755.1;protein_456,GCF_000733995.1;protein_533,GCF_002090215.1;protein_455,GCF_000319655.2;protein_458,GCF_009947575.1;protein_456,GCF_009945865.1;protein_459,GCF_009943805.1;protein_456,GCF_002090295.1;protein_455,,,,,,,
GCF_910574535.1;protein_454,GCF_002128045.1;protein_456,GCF_000319675.2;protein_456,GCF_000027345.1;protein_458,GCF_000283755.1;protein_459,GCF_002127985.1;protein_457,GCF_009947205.1;protein_456,GCF_041931765.1;protein_536,GCF_040256845.1;protein_458,GCF_002128265.1;protein_459,GCF_041931565.1;protein_651,GCF_009944725.1;protein_460,GCF_002128145.1;protein_456,GCF_001558175.1;protein_459,GCF_009942155.1;protein_458,GCF_041931755.1;protein_536,GCF_001272775.1;protein_459,GCF_009939765.1;protein_458,GCF_002355715.1;protein_458,GCF_900660465.1;protein_269,GCF_002128285.1;protein_457,GCF_009944335.1;protein_456,GCF_001272755.1;protein_457,GCF_000733995.1;protein_534,GCF_002090215.1;protein_456,GCF_000319655.2;protein_459,GCF_009947575.1;protein_457,GCF_009945865.1;protein_460,GCF_009943805.1;protein_457,GCF_002090295.1;protein_456,,,,,,,
GCF_910574535.1;protein_455,GCF_002128045.1;protein_457,GCF_000319675.2;protein_457,GCF_000027345.1;protein_459,GCF_000283755.1;protein_460,GCF_002127985.1;protein_458,GCF_009947205.1;protein_457,GCF_041931765.1;protein_537,GCF_040256845.1;protein_459,GCF_002128265.1;protein_460,GCF_041931565.1;protein_652,GCF_009944725.1;protein_461,GCF_002128145.1;protein_457,GCF_001558175.1;protein_460,GCF_009942155.1;protein_459,GCF_041931755.1;protein_537,GCF_001272775.1;protein_460,GCF_009939765.1;protein_459,GCF_002355715.1;protein_459,GCF_900660465.1;protein_268,GCF_002128285.1;protein_458,GCF_009944335.1;protein_457,GCF_001272755.1;protein_458,GCF_000733995.1;protein_535,GCF_002090215.1;protein_457,GCF_000319655.2;protein_460,GCF_009947575.1;protein_458,GCF_009945865.1;protein_461,GCF_009943805.1;protein_458,GCF_002090295.1;protein_457,,,,,,,
GCF_910574535.1;protein_456,GCF_002128045.1;protein_458,GCF_000319675.2;protein_458,GCF_000027345.1;protein_460,,GCF_002127985.1;protein_459,GCF_009947205.1;protein_458,GCF_041931765.1;protein_538,GCF_040256845.1;protein_460,,GCF_041931565.1;protein_653,,GCF_002128145.1;protein_458,GCF_001558175.1;protein_461,,GCF_041931755.1;protein_538,GCF_001272775.1;protein_461,GCF_009939765.1;protein_460,,,,GCF_009944335.1;protein_458,GCF_001272755.1;protein_459,GCF_000733995.1;protein_536,GCF_002090215.1;protein_458,,GCF_009947575.1;protein_459,,GCF_009943805.1;protein_459,GCF_002090295.1;protein_458,,,,,,,
GCF_910574535.1;protein_457,GCF_002128045.1;protein_459,GCF_000319675.2;protein_459,GCF_000027345.1;protein_461,GCF_000283755.1;protein_463,GCF_002127985.1;protein_460,GCF_009947205.1;protein_459,GCF_041931765.1;protein_539,GCF_040256845.1;protein_461,GCF_002128265.1;protein_463,GCF_041931565.1;protein_654,GCF_009944725.1;protein_464,GCF_002128145.1;protein_459,GCF_001558175.1;protein_462,GCF_009942155.1;protein_462,GCF_041931755.1;protein_539,GCF_001272775.1;protein_462,GCF_009939765.1;protein_461,GCF_002355715.1;protein_462,GCF_900660465.1;protein_265,GCF_002128285.1;protein_461,GCF_009944335.1;protein_459,GCF_001272755.1;protein_460,GCF_000733995.1;protein_537,GCF_002090215.1;protein_459,GCF_000319655.2;protein_463,GCF_009947575.1;protein_460,GCF_009945865.1;protein_464,GCF_009943805.1;protein_460,GCF_002090295.1;protein_459,,,,,,,
GCF_910574535.1;protein_458,,GCF_000319675.2;protein_460,GCF_000027345.1;protein_462,,GCF_002127985.1;protein_461,GCF_009947205.1;protein_460,GCF_041931765.1;protein_540,GCF_040256845.1;protein_462,,GCF_041931565.1;protein_655,,GCF_002128145.1;protein_460,GCF_001558175.1;protein_463,,GCF_041931755.1;protein_540,GCF_001272775.1;protein_463,GCF_009939765.1;protein_462,,,,GCF_009944335.1;protein_460,GCF_001272755.1;protein_461,GCF_000733995.1;protein_538,GCF_002090215.1;protein_460,,GCF_009947575.1;protein_461,,GCF_009943805.1;protein_461,GCF_002090295.1;protein_460,,,,,,,
GCF_910574535.1;protein_459,,GCF_000319675.2;protein_461,GCF_000027345.1;protein_463,GCF_000283755.1;protein_466,GCF_002127985.1;protein_462,GCF_009947205.1;protein_461,GCF_041931765.1;protein_541,GCF_040256845.1;protein_463,,GCF_041931565.1;protein_656,,GCF_002128145.1;protein_461,GCF_001558175.1;protein_464,,GCF_041931755.1;protein_541,GCF_001272775.1;protein_464,GCF_009939765.1;protein_463,GCF_002355715.1;protein_465,GCF_900660465.1;protein_262,,GCF_009944335.1;protein_461,GCF_001272755.1;protein_462,GCF_000733995.1;protein_539,GCF_002090215.1;protein_461,GCF_000319655.2;protein_466,GCF_009947575.1;protein_462,,GCF_009943805.1;protein_462,GCF_002090295.1;protein_461,,,,,,,
GCF_910574535.1;protein_46,GCF_002128045.1;protein_46,GCF_000319675.2;protein_46,GCF_000027345.1;protein_46,GCF_000283755.1;protein_46,GCF_002127985.1;protein_46,GCF_009947205.1;protein_46,GCF_041931765.1;protein_123,GCF_040256845.1;protein_46,GCF_002128265.1;protein_46,GCF_041931565.1;protein_242,GCF_009944725.1;protein_46,GCF_002128145.1;protein_46,GCF_001558175.1;protein_46,GCF_009942155.1;protein_46,GCF_041931755.1;protein_123,GCF_001272775.1;protein_46,GCF_009939765.1;protein_46,GCF_002355715.1;protein_46,GCF_900660465.1;protein_681,GCF_002128285.1;protein_46,GCF_009944335.1;protein_46,GCF_001272755.1;protein_46,GCF_000733995.1;protein_122,GCF_002090215.1;protein_46,GCF_000319655.2;protein_46,GCF_009947575.1;protein_46,GCF_009945865.1;protein_46,GCF_009943805.1;protein_46,GCF_002090295.1;protein_46,,,,,,,
GCF_910574535.1;protein_460,GCF_002128045.1;protein_461,GCF_000319675.2;protein_462,GCF_000027345.1;protein_464,GCF_000283755.1;protein_467,GCF_002127985.1;protein_463,GCF_009947205.1;protein_462,GCF_041931765.1;protein_542,GCF_040256845.1;protein_464,GCF_002128265.1;protein_466,GCF_041931565.1;protein_657,GCF_009944725.1;protein_467,GCF_002128145.1;protein_462,GCF_001558175.1;protein_465,GCF_009942155.1;protein_465,GCF_041931755.1;protein_542,GCF_001272775.1;protein_465,GCF_009939765.1;protein_464,GCF_002355715.1;protein_466,GCF_900660465.1;protein_261,GCF_002128285.1;protein_464,GCF_009944335.1;protein_462,GCF_001272755.1;protein_463,GCF_000733995.1;protein_540,GCF_002090215.1;protein_462,GCF_000319655.2;protein_467,GCF_009947575.1;protein_463,GCF_009945865.1;protein_467,GCF_009943805.1;protein_463,GCF_002090295.1;protein_462,,,,,,,
GCF_910574535.1;protein_461,GCF_002128045.1;protein_462,GCF_000319675.2;protein_463,GCF_000027345.1;protein_465,GCF_000283755.1;protein_468,GCF_002127985.1;protein_464,GCF_009947205.1;protein_463,GCF_041931765.1;protein_543,GCF_040256845.1;protein_465,GCF_002128265.1;protein_467,GCF_041931565.1;protein_658,GCF_009944725.1;protein_468,GCF_002128145.1;protein_463,GCF_001558175.1;protein_466,GCF_009942155.1;protein_466,GCF_041931755.1;protein_543,GCF_001272775.1;protein_466,GCF_009939765.1;protein_465,GCF_002355715.1;protein_467,GCF_900660465.1;protein_260,GCF_002128285.1;protein_465,GCF_009944335.1;protein_463,GCF_001272755.1;protein_464,GCF_000733995.1;protein_541,GCF_002090215.1;protein_463,GCF_000319655.2;protein_468,GCF_009947575.1;protein_464,GCF_009945865.1;protein_468,GCF_009943805.1;protein_464,GCF_002090295.1;protein_463,,,,,,,
GCF_910574535.1;protein_462,GCF_002128045.1;protein_463,GCF_000319675.2;protein_464,GCF_000027345.1;protein_466,GCF_000283755.1;protein_469,GCF_002127985.1;protein_465,GCF_009947205.1;protein_464,GCF_041931765.1;protein_544,GCF_040256845.1;protein_466,GCF_002128265.1;protein_468,GCF_041931565.1;protein_659,GCF_009944725.1;protein_469,GCF_002128145.1;protein_464,GCF_001558175.1;protein_467,GCF_009942155.1;protein_467,GCF_041931755.1;protein_544,GCF_001272775.1;protein_467,GCF_009939765.1;protein_466,GCF_002355715.1;protein_468,GCF_900660465.1;protein_259,GCF_002128285.1;protein_466,GCF_009944335.1;protein_464,GCF_001272755.1;protein_465,GCF_000733995.1;protein_542,GCF_002090215.1;protein_464,GCF_000319655.2;protein_469,GCF_009947575.1;protein_465,GCF_009945865.1;protein_469,GCF_009943805.1;protein_465,GCF_002090295.1;protein_464,,,,,,,
GCF_910574535.1;protein_463,GCF_002128045.1;protein_464,GCF_000319675.2;protein_465,GCF_000027345.1;protein_467,GCF_000283755.1;protein_470,GCF_002127985.1;protein_466,GCF_009947205.1;protein_465,GCF_041931765.1;protein_545,GCF_040256845.1;protein_467,GCF_002128265.1;protein_469,GCF_041931565.1;protein_660,GCF_009944725.1;protein_470,GCF_002128145.1;protein_465,GCF_001558175.1;protein_468,GCF_009942155.1;protein_468,GCF_041931755.1;protein_545,GCF_001272775.1;protein_468,GCF_009939765.1;protein_467,GCF_002355715.1;protein_469,GCF_900660465.1;protein_258,GCF_002128285.1;protein_467,GCF_009944335.1;protein_465,GCF_001272755.1;protein_466,GCF_000733995.1;protein_543,GCF_002090215.1;protein_465,GCF_000319655.2;protein_470,GCF_009947575.1;protein_466,GCF_009945865.1;protein_470,GCF_009943805.1;protein_466,GCF_002090295.1;protein_465,,,,,,,
GCF_910574535.1;protein_464,GCF_002128045.1;protein_465,GCF_000319675.2;protein_466,GCF_000027345.1;protein_468,GCF_000283755.1;protein_471,GCF_002127985.1;protein_467,GCF_009947205.1;protein_466,GCF_041931765.1;protein_546,GCF_040256845.1;protein_468,GCF_002128265.1;protein_470,GCF_041931565.1;protein_661,GCF_009944725.1;protein_471,GCF_002128145.1;protein_466,GCF_001558175.1;protein_469,GCF_009942155.1;protein_469,GCF_041931755.1;protein_546,GCF_001272775.1;protein_469,GCF_009939765.1;protein_468,GCF_002355715.1;protein_470,GCF_900660465.1;protein_257,GCF_002128285.1;protein_468,GCF_009944335.1;protein_466,GCF_001272755.1;protein_467,GCF_000733995.1;protein_544,GCF_002090215.1;protein_466,GCF_000319655.2;protein_471,GCF_009947575.1;protein_467,GCF_009945865.1;protein_471,GCF_009943805.1;protein_467,GCF_002090295.1;protein_466,,,,,,,
GCF_910574535.1;protein_465,GCF_002128045.1;protein_466,GCF_000319675.2;protein_467,GCF_000027345.1;protein_469,GCF_000283755.1;protein_472,GCF_002127985.1;protein_468,GCF_009947205.1;protein_467,GCF_041931765.1;protein_547,GCF_040256845.1;protein_469,GCF_002128265.1;protein_471,GCF_041931565.1;protein_662,GCF_009944725.1;protein_472,GCF_002128145.1;protein_467,GCF_001558175.1;protein_470,GCF_009942155.1;protein_470,GCF_041931755.1;protein_547,GCF_001272775.1;protein_470,GCF_009939765.1;protein_469,GCF_002355715.1;protein_471,GCF_900660465.1;protein_256,GCF_002128285.1;protein_469,GCF_009944335.1;protein_467,GCF_001272755.1;protein_468,GCF_000733995.1;protein_545,GCF_002090215.1;protein_467,GCF_000319655.2;protein_472,GCF_009947575.1;protein_468,GCF_009945865.1;protein_472,GCF_009943805.1;protein_468,GCF_002090295.1;protein_467,,,,,,,
GCF_910574535.1;protein_466,GCF_002128045.1;protein_467,GCF_000319675.2;protein_468,GCF_000027345.1;protein_470,GCF_000283755.1;protein_473,GCF_002127985.1;protein_469,GCF_009947205.1;protein_468,GCF_041931765.1;protein_548,GCF_040256845.1;protein_470,GCF_002128265.1;protein_472,GCF_041931565.1;protein_663,GCF_009944725.1;protein_473,GCF_002128145.1;protein_468,GCF_001558175.1;protein_471,GCF_009942155.1;protein_471,GCF_041931755.1;protein_548,GCF_001272775.1;protein_471,GCF_009939765.1;protein_470,GCF_002355715.1;protein_472,GCF_900660465.1;protein_255,GCF_002128285.1;protein_470,GCF_009944335.1;protein_468,GCF_001272755.1;protein_469,GCF_000733995.1;protein_546,GCF_002090215.1;protein_468,GCF_000319655.2;protein_473,GCF_009947575.1;protein_469,GCF_009945865.1;protein_473,GCF_009943805.1;protein_469,GCF_002090295.1;protein_468,,,,,,,
GCF_910574535.1;protein_467,GCF_002128045.1;protein_468,GCF_000319675.2;protein_469,GCF_000027345.1;protein_471,GCF_000283755.1;protein_474,GCF_002127985.1;protein_470,GCF_009947205.1;protein_469,GCF_041931765.1;protein_549,GCF_040256845.1;protein_471,GCF_002128265.1;protein_473,GCF_041931565.1;protein_664,GCF_009944725.1;protein_474,GCF_002128145.1;protein_469,GCF_001558175.1;protein_472,GCF_009942155.1;protein_472,GCF_041931755.1;protein_549,GCF_001272775.1;protein_472,GCF_009939765.1;protein_471,GCF_002355715.1;protein_473,GCF_900660465.1;protein_254,GCF_002128285.1;protein_471,GCF_009944335.1;protein_469,GCF_001272755.1;protein_470,GCF_000733995.1;protein_547,GCF_002090215.1;protein_469,GCF_000319655.2;protein_474,GCF_009947575.1;protein_470,GCF_009945865.1;protein_474,GCF_009943805.1;protein_470,GCF_002090295.1;protein_469,,,,,,,
GCF_910574535.1;protein_468,GCF_002128045.1;protein_469,GCF_000319675.2;protein_470,GCF_000027345.1;protein_472,GCF_000283755.1;protein_475,GCF_002127985.1;protein_471,GCF_009947205.1;protein_470,GCF_041931765.1;protein_550,GCF_040256845.1;protein_472,GCF_002128265.1;protein_474,GCF_041931565.1;protein_665,GCF_009944725.1;protein_475,GCF_002128145.1;protein_470,GCF_001558175.1;protein_473,GCF_009942155.1;protein_473,GCF_041931755.1;protein_550,GCF_001272775.1;protein_473,GCF_009939765.1;protein_472,GCF_002355715.1;protein_474,GCF_900660465.1;protein_253,GCF_002128285.1;protein_472,GCF_009944335.1;protein_470,GCF_001272755.1;protein_471,GCF_000733995.1;protein_548,GCF_002090215.1;protein_470,GCF_000319655.2;protein_475,GCF_009947575.1;protein_471,GCF_009945865.1;protein_475,GCF_009943805.1;protein_471,GCF_002090295.1;protein_470,,,,,,,
GCF_910574535.1;protein_469,GCF_002128045.1;protein_470,GCF_000319675.2;protein_471,GCF_000027345.1;protein_473,GCF_000283755.1;protein_476,GCF_002127985.1;protein_472,GCF_009947205.1;protein_471,GCF_041931765.1;protein_551,GCF_040256845.1;protein_473,GCF_002128265.1;protein_475,GCF_041931565.1;protein_666,GCF_009944725.1;protein_476,GCF_002128145.1;protein_471,GCF_001558175.1;protein_474,GCF_009942155.1;protein_474,GCF_041931755.1;protein_551,GCF_001272775.1;protein_474,GCF_009939765.1;protein_473,GCF_002355715.1;protein_475,GCF_900660465.1;protein_252,GCF_002128285.1;protein_473,GCF_009944335.1;protein_471,GCF_001272755.1;protein_472,GCF_000733995.1;protein_549,GCF_002090215.1;protein_471,GCF_000319655.2;protein_476,GCF_009947575.1;protein_472,GCF_009945865.1;protein_476,GCF_009943805.1;protein_472,GCF_002090295.1;protein_471,,,,,,,
GCF_910574535.1;protein_47,GCF_002128045.1;protein_47,GCF_000319675.2;protein_47,GCF_000027345.1;protein_47,GCF_000283755.1;protein_47,GCF_002127985.1;protein_47,GCF_009947205.1;protein_47,GCF_041931765.1;protein_124,GCF_040256845.1;protein_47,GCF_002128265.1;protein_47,GCF_041931565.1;protein_243,GCF_009944725.1;protein_47,GCF_002128145.1;protein_47,GCF_001558175.1;protein_47,GCF_009942155.1;protein_47,GCF_041931755.1;protein_124,GCF_001272775.1;protein_47,GCF_009939765.1;protein_47,GCF_002355715.1;protein_47,GCF_900660465.1;protein_680,GCF_002128285.1;protein_47,GCF_009944335.1;protein_47,GCF_001272755.1;protein_47,GCF_000733995.1;protein_123,GCF_002090215.1;protein_47,GCF_000319655.2;protein_47,GCF_009947575.1;protein_47,GCF_009945865.1;protein_47,GCF_009943805.1;protein_47,GCF_002090295.1;protein_47,,,,,,,
GCF_910574535.1;protein_470,GCF_002128045.1;protein_471,GCF_000319675.2;protein_472,GCF_000027345.1;protein_474,GCF_000283755.1;protein_477,GCF_002127985.1;protein_473,GCF_009947205.1;protein_472,GCF_041931765.1;protein_552,GCF_040256845.1;protein_474,GCF_002128265.1;protein_476,GCF_041931565.1;protein_667,GCF_009944725.1;protein_477,GCF_002128145.1;protein_472,GCF_001558175.1;protein_475,GCF_009942155.1;protein_475,GCF_041931755.1;protein_552,GCF_001272775.1;protein_475,GCF_009939765.1;protein_474,GCF_002355715.1;protein_476,GCF_900660465.1;protein_251,GCF_002128285.1;protein_474,GCF_009944335.1;protein_472,GCF_001272755.1;protein_473,GCF_000733995.1;protein_550,GCF_002090215.1;protein_472,GCF_000319655.2;protein_477,GCF_009947575.1;protein_473,GCF_009945865.1;protein_477,GCF_009943805.1;protein_473,GCF_002090295.1;protein_472,,,,,,,
GCF_910574535.1;protein_471,GCF_002128045.1;protein_472,GCF_000319675.2;protein_473,GCF_000027345.1;protein_475,GCF_000283755.1;protein_478,GCF_002127985.1;protein_474,GCF_009947205.1;protein_473,GCF_041931765.1;protein_553,GCF_040256845.1;protein_475,GCF_002128265.1;protein_477,GCF_041931565.1;protein_668,GCF_009944725.1;protein_478,GCF_002128145.1;protein_473,GCF_001558175.1;protein_476,GCF_009942155.1;protein_476,GCF_041931755.1;protein_553,GCF_001272775.1;protein_476,GCF_009939765.1;protein_475,GCF_002355715.1;protein_477,GCF_900660465.1;protein_250,GCF_002128285.1;protein_475,GCF_009944335.1;protein_473,GCF_001272755.1;protein_474,GCF_000733995.1;protein_551,GCF_002090215.1;protein_473,GCF_000319655.2;protein_478,GCF_009947575.1;protein_474,GCF_009945865.1;protein_478,GCF_009943805.1;protein_474,GCF_002090295.1;protein_473,,,,,,,
GCF_910574535.1;protein_472,GCF_002128045.1;protein_473,GCF_000319675.2;protein_474,GCF_000027345.1;protein_476,GCF_000283755.1;protein_479,GCF_002127985.1;protein_475,GCF_009947205.1;protein_474,GCF_041931765.1;protein_554,GCF_040256845.1;protein_476,GCF_002128265.1;protein_478,GCF_041931565.1;protein_669,GCF_009944725.1;protein_479,GCF_002128145.1;protein_474,GCF_001558175.1;protein_477,GCF_009942155.1;protein_477,GCF_041931755.1;protein_554,GCF_001272775.1;protein_477,GCF_009939765.1;protein_476,GCF_002355715.1;protein_478,GCF_900660465.1;protein_249,GCF_002128285.1;protein_476,GCF_009944335.1;protein_474,GCF_001272755.1;protein_475,GCF_000733995.1;protein_552,GCF_002090215.1;protein_474,GCF_000319655.2;protein_479,GCF_009947575.1;protein_475,GCF_009945865.1;protein_479,GCF_009943805.1;protein_475,GCF_002090295.1;protein_474,,,,,,,
